iter	Logloss
0	0.6291566066
1	0.5761551388
2	0.5316837593
3	0.4917838528
4	0.456103861
5	0.404720734
6	0.3804903471
7	0.3577599303
8	0.3380260433
9	0.3227517053
10	0.308882666
11	0.2939445653
12	0.283827104
13	0.2725216095
14	0.2634769973
15	0.2415172653
16	0.2320530102
17	0.2256856689
18	0.2205304156
19	0.2068246416
20	0.2032307084
21	0.2002586852
22	0.1924638094
23	0.1886793757
24	0.1869377059
25	0.1849185198
26	0.182155402
27	0.1807470285
28	0.1745126399
29	0.1717205601
30	0.1704842397
31	0.1652269202
32	0.1644502451
33	0.1638265032
34	0.1632977201
35	0.1601987763
36	0.1590477587
37	0.156692256
38	0.1561755231
39	0.1535328139
40	0.1518748865
41	0.1480802634
42	0.1476433051
43	0.1473321609
44	0.1461192586
45	0.1441815864
46	0.1439012846
47	0.1415123577
48	0.1398814516
49	0.1391662206
50	0.138213174
51	0.1369578974
52	0.1356995906
53	0.1355003519
54	0.1352460424
55	0.1348523986
56	0.1346268005
57	0.1344245649
58	0.1342138634
59	0.1337160072
60	0.1332125538
61	0.1330162819
62	0.1315317945
63	0.1310474353
64	0.1308816845
65	0.1296253086
66	0.1294418071
67	0.1292801891
68	0.129078171
69	0.1287935435
70	0.1283209705
71	0.1280189869
72	0.1273251163
73	0.1269053729
74	0.1259478166
75	0.1255601841
76	0.1249179491
77	0.1247835885
78	0.1246680315
79	0.1237893891
80	0.1231776348
81	0.1230212972
82	0.12289949
83	0.1227661071
84	0.1225634111
85	0.1224685844
86	0.1221282139
87	0.1220092772
88	0.1218754654
89	0.1217683613
90	0.1217372379
91	0.1215384255
92	0.1214666093
93	0.1213724107
94	0.1212782631
95	0.1211674994
96	0.1210821879
97	0.1210464095
98	0.1209183326
99	0.1208567474
100	0.1203340627
101	0.120138785
102	0.1200502952
103	0.1199940105
104	0.1198566429
105	0.1197746566
106	0.1195634503
107	0.1194957855
108	0.1194120724
109	0.1193647267
110	0.1192314009
111	0.1191523779
112	0.119084698
113	0.1190152285
114	0.1189447465
115	0.1187439328
116	0.1186253698
117	0.1185639687
118	0.1185054776
119	0.1182563185
120	0.1181781389
121	0.1181250651
122	0.1179390879
123	0.1178940363
124	0.1178266805
125	0.1177862773
126	0.1177187634
127	0.1176667233
128	0.1174807273
129	0.1174206903
130	0.1173405192
131	0.1172770028
132	0.1172274697
133	0.1171706316
134	0.1171551695
135	0.1171064134
136	0.1169578181
137	0.1168856622
138	0.1168310825
139	0.1166896937
140	0.1166267606
141	0.1164643763
142	0.1164327781
143	0.1163502535
144	0.1163019622
145	0.1162285845
146	0.1161705274
147	0.1161265552
148	0.1160623806
149	0.1159337299
150	0.1158723362
151	0.1158322179
152	0.115681349
153	0.1154387866
154	0.115387555
155	0.1153359299
156	0.1152904928
157	0.1152217085
158	0.1151610512
159	0.1151495294
160	0.115101394
161	0.1150580735
162	0.115016656
163	0.114958391
164	0.11486395
165	0.1146452427
166	0.1145998385
167	0.114435495
168	0.1142195449
169	0.1141769784
170	0.1141392532
171	0.1141027593
172	0.1140723847
173	0.1140475524
174	0.1140212423
175	0.1138632514
176	0.1136804852
177	0.1134981546
178	0.1134798037
179	0.1134587456
180	0.113410279
181	0.1133547099
182	0.1133148773
183	0.1132911228
184	0.1131882886
185	0.1131445452
186	0.1129893236
187	0.1129422247
188	0.1128842038
189	0.1128669357
190	0.1128092827
191	0.1127876622
192	0.1127532819
193	0.112709331
194	0.1126774068
195	0.1126136882
196	0.1125508081
197	0.1124826709
198	0.112445191
199	0.1123513822
200	0.1122985857
201	0.1122675622
202	0.1122464378
203	0.1122290403
204	0.1121103953
205	0.1120843705
206	0.1120626573
207	0.1119963512
208	0.1119588226
209	0.1119333787
210	0.1119186789
211	0.1117732214
212	0.1117380973
213	0.1117029906
214	0.1116707165
215	0.1116211649
216	0.1115696693
217	0.1114027763
218	0.1113460075
219	0.1112298911
220	0.111089037
221	0.1110519191
222	0.1109906159
223	0.1109728497
224	0.1109333558
225	0.1109157857
226	0.1108746603
227	0.1107912598
228	0.1107632816
229	0.1106942318
230	0.1104984718
231	0.1104372867
232	0.1103982121
233	0.1103480949
234	0.1103041356
235	0.1102315991
236	0.1101899565
237	0.1100652941
238	0.1100272832
239	0.1099045557
240	0.1098633198
241	0.1098031902
242	0.1097686925
243	0.1096344764
244	0.1095844428
245	0.1095356068
246	0.1094976249
247	0.1094435595
248	0.1093925883
249	0.1093512857
250	0.109250507
251	0.1092165924
252	0.1091518141
253	0.109123288
254	0.1090540133
255	0.1090208774
256	0.1089636481
257	0.1089199595
258	0.1088771657
259	0.1088189227
260	0.1087872063
261	0.1087595457
262	0.1087373401
263	0.1086955785
264	0.1086267818
265	0.1085810783
266	0.1085253118
267	0.1084432875
268	0.1084046098
269	0.108383958
270	0.1083512816
271	0.1082201862
272	0.1081947433
273	0.1081643198
274	0.1080894285
275	0.1080334448
276	0.1079749881
277	0.1079385137
278	0.1079145659
279	0.1078577357
280	0.1078202841
281	0.1077873409
282	0.1077557168
283	0.1077241076
284	0.1076835459
285	0.1076504265
286	0.1075635191
287	0.1074569734
288	0.1074318063
289	0.1074087533
290	0.1073927762
291	0.1073552354
292	0.1072980462
293	0.1072621993
294	0.1072376117
295	0.1071956615
296	0.1071572801
297	0.1071308761
298	0.1070521106
299	0.1069822832
300	0.1069379934
301	0.1068950591
302	0.1068554348
303	0.1068124261
304	0.1067738225
305	0.1067381127
306	0.1066930312
307	0.1066457352
308	0.1066235346
309	0.1065919719
310	0.1065582018
311	0.1065258299
312	0.1064901635
313	0.1064221005
314	0.1063877035
315	0.1063593659
316	0.1063051274
317	0.1062661839
318	0.1062160478
319	0.1061516245
320	0.106107797
321	0.1060710891
