iter	Passed	Remaining
0	231	115766
1	282	70410
2	322	53429
3	356	44243
4	389	38517
5	449	37007
6	554	39020
7	642	39489
8	701	38255
9	755	37039
10	793	35275
11	832	33865
12	863	32358
13	907	31511
14	1019	32948
15	1072	32438
16	1150	32691
17	1207	32335
18	1265	32032
19	1319	31660
20	1383	31553
21	1443	31370
22	1494	30995
23	1558	30910
24	1630	30971
25	1735	31647
26	1807	31660
27	1853	31249
28	1907	30972
29	1962	30741
30	2012	30439
31	2062	30163
32	2123	30049
33	2158	29588
34	2195	29169
35	2236	28824
36	2271	28421
37	2306	28043
38	2344	27715
39	2381	27384
40	2418	27073
41	2457	26794
42	2496	26527
43	2534	26262
44	2575	26045
45	2613	25790
46	2652	25564
47	2688	25315
48	2723	25069
49	2763	24868
50	2798	24638
51	2839	24462
52	2884	24328
53	2929	24198
54	2974	24068
55	3019	23936
56	3062	23804
57	3108	23690
58	3150	23552
59	3194	23425
60	3235	23287
61	3279	23170
62	3323	23056
63	3365	22925
64	3408	22810
65	3450	22689
66	3494	22582
67	3560	22617
68	3639	22733
69	3711	22799
70	3779	22834
71	3854	22913
72	3896	22790
73	3942	22694
74	3982	22568
75	4027	22468
76	4098	22512
77	4172	22573
78	4241	22605
79	4311	22635
80	4382	22671
81	4874	24848
82	4961	24926
83	4999	24758
84	5036	24588
85	5072	24418
86	5112	24267
87	5147	24097
88	5182	23932
89	5222	23790
90	5245	23576
91	5281	23422
92	5319	23280
93	5432	23462
94	5471	23327
95	5509	23185
96	5548	23049
97	5576	22876
98	5612	22735
99	5647	22589
100	5690	22481
101	5727	22347
102	5767	22230
103	5801	22089
104	5841	21973
105	5880	21859
106	5916	21729
107	5950	21596
108	5989	21485
109	6025	21361
110	6059	21234
111	6098	21125
112	6133	21006
113	6172	20899
114	6215	20809
115	6251	20694
116	6289	20590
117	6326	20479
118	6361	20366
119	6401	20272
120	6439	20169
121	6475	20062
122	6516	19974
123	6556	19880
124	6591	19774
125	6631	19682
126	6666	19579
127	6704	19484
128	6741	19389
129	6776	19287
